GATE_TYPE,GATE_NAME,COUNTY_NAME,NEIGHBORHOOD_NAME,LOCATION,STREET_NAME,LATITUDE,LONGITUDE
Yaya Üst Geçidi,Narlıkapı Yaya Üst Geçidi,FATİH,KOCA MUSTAFAPAŞA,Sahil Kennedy Cad.,Sahil Kennedy Cad.,40.9950598535159,28.9310374216247
Köprü,Volvo Köprü 1,ZEYTİNBURNU,KAZLIÇEŞME,Belediye ,Belediye ,40.988141349477,28.9093095215049
Köprü,Kumcular Köprüsü,ZEYTİNBURNU,KAZLIÇEŞME,Kumcular,Sahil Kennedy Cad.,40.9814419152889,28.8960523831211
Yaya Üst Geçidi,Yüzyıl Yaya Üst Geçidi,ESENLER,TUNA,O - 3,0-3,41.0542313055058,28.8604822535113
Yaya Üst Geçidi,Karabayır Yaya Üst Geçidi,ESENLER,BİRLİK,0-3,0-3,41.0528757353227,28.8671016844922
Araç Alt Geçidi,Kadife Kavşağı Tüneli 1,BAYRAMPAŞA,YENİDOĞAN,O3 Yanı,O3,41.0385841663864,28.9123867244307
Köprü,O3 den E5 Bağlantı Köprüsü (Vatan Cad. Üzeri),ZEYTİNBURNU,MALTEPE,E5 Üstü,E5,41.0278264966585,28.9236394573098
Köprü,Yüzyıl Köprü,ESENLER,TUNA,O3,O3,41.0544673343643,28.858585918996
Araç Alt Geçidi,Eminönü Meydan Alt Geçidi,FATİH,RÜSTEMPAŞA,Eminönü Meydan,Eminönü Meydan,41.0177287474296,28.9715995518279
Yaya Üst Geçidi,Topkapı Metrobüs Yaya Üst Geçidi,ZEYTİNBURNU,MALTEPE,E5 Topkapı,E5,41.0204843291967,28.9175820445456
Köprü,Merter Köprü,BAKIRKÖY,OSMANİYE,Merter,E5,41.003382309922,28.8908009510843
Yaya Üst Geçidi,Terazidere Yaya Üst Geçidi,ESENLER,NAMIK KEMAL,Terazidere Metro Durağı,Dumlupınar Cad.,41.0307319515357,28.8979734867417
Köprü,Davutpaşa 1 (Otogar İstikameti),ESENLER,ÇİFTE HAVUZLAR,Davutpaşa,General Ali Rıza Gürcan Cad.,41.0207416707816,28.9004920467278
Köprü,Adnan Menderes Kavşağı O3- E5 Kesişimi (D-100 Üzeri),EYÜP,TOPÇULAR,O3 Üstü (vatan Bağ.Yolu E5),O - 3,41.0278901617498,28.9251331782003
Köprü,Çiftehavuzlar A.Ü.G,ESENLER,ÇİFTE HAVUZLAR,Şişecam Yanı,Kocayusuf Caddesi,41.0277146872422,28.8990127112274
Yaya Üst Geçidi,Şükrübey Metrobüs Yaya Üst Geçidi,AVCILAR,GÜMÜŞPALA,Migros,D-100,40.98042697826,28.7312950593788
Yaya Üst Geçidi,M.Kemalpaşa Metrobüs Yaya Üst Geçidi,AVCILAR,ÜNİVERSİTE,Bursa İskender Kebapcısı,D-100,40.9925031989304,28.7106862879489
Yaya Üst Geçidi,İGS Metrobüs Yaya Üst Geçidi,AVCILAR,CİHANGİR,İGS,D-100,40.988531335609,28.7173052118662
Yaya Üst Geçidi,İBB Sosyal Tesİsleri Üst Gecİt,AVCILAR,GÜMÜŞPALA,Yıkılacak,D-100,40.978176117748,28.7456729981137
Yaya Üst Geçidi,Tahtakale Yaya Üst Geçidi,AVCILAR,TAHTAKALE,OPET Önü,O3 Kuzey Güney Yan Yol,41.055737889593,28.7285414562191
Yaya Üst Geçidi,KOSKA Yaya Üst Geçidi,AVCILAR,CİHANGİR,KOSKA,D-100,40.9996596219191,28.6979688912854
Köprü,Mimar Sinan Kavşağı,BÜYÜKÇEKMECE,MİMAR SİNAN MERKEZ,SHELL Yanı,D-100,41.0179939321307,28.5632276262959
Köprü,Mİmar Sİnan Denİz-Göl Bağ.,BÜYÜKÇEKMECE,FATİH,İSKİ Önü,D-100,41.0194580750859,28.5723633587612
Yaya Üst Geçidi,S Rrampası İniş,BÜYÜKÇEKMECE,19 MAYIS,S Rampası,D-100,41.0255364177246,28.6023618276828
Köprü,Karaağaç Köyü Giriş Köprüsü,BÜYÜKÇEKMECE,KARAAĞAÇ,TEM Üstü,Dostluk Cad.,41.1052457244324,28.5846745565812
Köprü,Bahşayiş Yolu TEM Köğrüsü Giriş,ÇATALCA,BAHŞAYİŞ,TEM Üstü,Aksaray Cad.,41.1065415435959,28.5464929744798
Yaya Üst Geçidi,Bahçelievler Yaya Üst Geçidi,BAKIRKÖY,ZUHURATBABA,MEDICALPARK Önü,D-100,40.9952755154399,28.8641606989719
Yaya Üst Geçidi,Çocuk Sitesi Yaya Üst Geçidi,BAHÇELİEVLER,BAHÇELİEVLER,Çocuk Sitesi,D-100,40.9938619051536,28.8594195705615
Yaya Üst Geçidi,Şirinevler Yaya Üst Geçidi-1,BAHÇELİEVLER,ŞİRİNEVLER,Cengiz Topel Camii,D-100,40.9917683002828,28.8453202923642
Köprü,Kuyumcukent Kavşağı,BAHÇELİEVLER,YENİBOSNA MERKEZ,Kuyumcukent,Kuyumcukent Kavşağı,40.9993471623275,28.8181957160057
Köprü (Dere),Yassıören Girişi,ARNAVUTKÖY,YASSIÖREN,Bilinmiyor,Eski Edirne Caddesi,41.2347657730645,28.5984054445887
Köprü (Dere),Boğazköy Girişi,ARNAVUTKÖY,BOĞAZKÖY İSTİKLAL,İSMET İNÖNÜ CAD.,İsmet İnönü Caddesi,41.1804905620528,28.7740961474822
Köprü (Dere),Ağaçlı Köyü,EYÜP,AĞAÇLI,Ağaçlı Köy Yolu,Ağaçlı Köy Yolu,41.2697717636148,28.8799870569279
Köprü (Dere),Pirinççi Köy Çıkışı,EYÜP,PİRİNÇÇİ,Pirinççi Köy Yolu,Pirinççi Köy Yolu,41.1629395139639,28.8526476974737
Köprü (Dere),Dursunköy Girişi,ARNAVUTKÖY,DURSUNKÖY,DURSUNKÖY-BAKLALI CAD.,Dursunköy-Baklalı Caddesi,41.2050469681236,28.6384982545614
Köprü (Dere),Kalfaköy-Dağyenice Yolu,ÇATALCA,KALFA,"Kalfaköy'den Dağyenice 
Mahallesine Giderken 500 . Sonra",Kalfaköy Cad.,41.2880030130482,28.444467710134
Yaya Üst Geçidi,Bağcılar-Güngören San.,BAŞAKŞEHİR,ZİYA GÖKALP,Güngören Sanayi Sit. Önü,Atatük Bulvarı,41.0780165437334,28.8083499948307
Araç Alt Geçidi,Garanti Kavşağı,BAŞAKŞEHİR,ZİYA GÖKALP,Garanti Bankası Önü,Atatük Bulvarı,41.0807356440622,28.806782199235
Araç Alt Geçidi,Onurkent Kavşağı,BAŞAKŞEHİR,BAŞAKŞEHİR,Onurkent Önü,Hürriyet Bulvarı,41.107584535974,28.7950975652249
Araç Alt Geçidi,TEM Güney Yanyol Alli Kestanecİ,KÜÇÜKÇEKMECE,ATATÜRK,İkitelli İETT Garajı Yanı,O3 Ggüney Yan Yol,41.0632463999884,28.7877308725139
Araç Alt Geçidi,Esenkent-Bahçeşehir Alt Geçidi,AVCILAR,YEŞİLKENT,Bahçekent Sitesi,Esenkent-Bahçeşehir Yolu,41.0569529984381,28.6920612998866
Yaya Üst Geçidi,Güzelyurt Metrobüs,ESENYURT,GÜZELYURT,İbis Otel,D-100,41.0068121687052,28.6645470776307
Araç Alt Geçidi,Liman Yolu Dolum Tesislerİ Alt Geçidi,BEYLİKDÜZÜ,YAKUPLU,Hz.Halit Camii Yanı,Liman yolu,40.9978275816336,28.6776520322372
Araç Alt Geçidi,Yavuz Selİm Alt Geçİdİ,BÜYÜKÇEKMECE,PINARTEPE,Parlavista Önü,Yavuz Selim Cad.,41.0166785442371,28.6265484433067
Araç Alt Geçidi,Fatih Sanayi Sit. Kavşağı,ESENYURT,ZAFER,Fatih Sanayi Sitesi Önü,Doğan Araslı Bulvarı,41.0149709668284,28.6920746113036
Köprü,D-100 Yanyol Dere Köp-1,KÜÇÜKÇEKMECE,Bilinmiyor,İBB Mezarlıklar Müd.,D-100 Kuzey Yan Yol,40.9867464016252,28.7726137556942
Araç Alt Geçidi,Toplu Konutlar-3,KÜÇÜKÇEKMECE,ATAKENT,Hürriyet Kavşağı,Toplu Konutlar-3,41.0494023263247,28.7936191608029
Yaya Üst Geçidi,M.Akif Ersoy Yaya Üst Geçit-1,KÜÇÜKÇEKMECE,HALKALI MERKEZ,OPET,M.Akif Ersoy bulvarı,41.0296254367837,28.7954636387299
Yaya Üst Geçidi,Fatih Cad Yaya Üst Geçidi,KÜÇÜKÇEKMECE,HALKALI MERKEZ,Y.K.B. Gösteri Merkezi,Fatih,41.0319309256439,28.8015748908552
Yaya Üst Geçidi,Turgut Özal Yaya Üst Geçidi,KÜÇÜKÇEKMECE,İSTASYON,Atatürk Ortaokulu,Turgut Özal Bulvarı,41.0334073998124,28.7710668003002
Köprü,Ataköy Kavşağı,BAKIRKÖY,ZUHURATBABA,Sinan Erdem Spor Salonu,D-100,40.9918611463153,28.8512536458539
Yaya Üst Geçidi,Forya Kavşağı,BAKIRKÖY,ŞENLİKKÖY,Florya Yeni Camii,Forya Kavşağı,40.9881584087555,28.7944810024862
Köprü,Strazburg Cad. Tren Köprüsü,BAKIRKÖY,ATAKÖY 2-5-6. KISIM,Ataköy Polis Karakolu,Strazburg Cad,40.9798932010322,28.8633592887563
Köprü,Ataköy 5.Kısım Kavşağı,BAKIRKÖY,ATAKÖY 2-5-6. KISIM,Ataköy Konakları,Rauf Orbay,40.97613722955,28.852402000734
Köprü,Akmesçit Sok..Tren Üst Köprü,BAKIRKÖY,ATAKÖY 1. KISIM,Bakırköy Spor Kulübü,Akmescit,40.9797407380047,28.8675617864703
