title,copies_sold,genre,developer,publisher,as_of,release_date
Mario Kart 8 Deluxe,48410000.0,Kart racing,Nintendo EPD,Nintendo,2022-09-30,2017-04-28
Animal Crossing: New Horizons,40170000.0,Social simulation,Nintendo EPD,Nintendo,2022-09-30,2020-03-20
Super Smash Bros. Ultimate,29530000.0,Fighting,Bandai Namco StudiosSora Ltd.,Nintendo,2022-09-30,2018-12-07
The Legend of Zelda: Breath of the Wild,27790000.0,Action-adventure,Nintendo EPD,Nintendo,2022-09-30,2017-03-03
Pokémon Sword and Shield,25370000.0,Role-playing,Game Freak,The Pokémon CompanyNintendo,2022-09-30,2019-11-15
Super Mario Odyssey,24400000.0,Platformer,Nintendo EPD,Nintendo,2022-09-30,2017-10-27
Super Mario Party,18350000.0,Party,NDcube,Nintendo,2022-09-30,2018-10-05
Pokémon Brilliant Diamond and Shining Pearl,14920000.0,Role-playing,ILCA,The Pokémon CompanyNintendo,2022-09-30,2021-11-19
Ring Fit Adventure,14870000.0,Exergamerole-playing,Nintendo EPD,Nintendo,2022-09-30,2019-10-18
"Pokémon: Let's Go, Pikachu! and Let's Go, Eevee!",14810000.0,Role-playing,Game Freak,The Pokémon CompanyNintendo,2022-09-30,2018-11-16
Pokémon Legends: Arceus,13910000.0,Action role-playing,Game Freak,The Pokémon CompanyNintendo,2022-09-30,2022-01-28
New Super Mario Bros. U Deluxe,13310000.0,Platformer,Nintendo EPD,Nintendo,2022-03-31,2019-01-11
Splatoon 2,13300000.0,Third-person shooter,Nintendo EPD,Nintendo,2022-03-31,2017-07-21
Luigi's Mansion 3,11430000.0,Action-adventure,Next Level Games,Nintendo,2022-03-31,2019-10-31
Pokémon Scarlet and Violet,10000000.0,Role-playing,Game Freak,The Pokémon CompanyNintendo,2022-11-20,2022-11-18
Super Mario 3D World + Bowser's Fury,9430000.0,Platformer,Nintendo EPD,Nintendo,2022-03-31,2021-02-12
Super Mario 3D All-Stars,9070000.0,Platformercompilation,Nintendo,Nintendo,2021-12-31,2020-09-18
Mario Party Superstars,8070000.0,Party,NDcube,Nintendo,2022-09-30,2021-10-29
Splatoon 3,7900000.0,Third-person shooter,Nintendo EPD,Nintendo,2022-09-30,2022-09-09
Super Mario Maker 2,7890000.0,PlatformerLevel editor,Nintendo EPD,Nintendo,2021-12-31,2019-06-28
Monster Hunter Rise,7700000.0,Action role-playing,Capcom,Capcom,2021-12-31,2021-03-26
Nintendo Switch Sports,6150000.0,Sports,Nintendo EPD,Nintendo,2022-09-30,2022-04-29
