Country,Capital,Continent
Afghanistan,Kabul,Asia
Albania,Tirana,Europe
Algeria,Algiers,Africa
American Samoa,Pago Pago,Oceania
Andorra,Andorra la Vella,Europe
Angola,Luanda,Africa
Anguilla,The Valley,North America
Antigua and Barbuda,Saint John�??s,North America
Argentina,Buenos Aires,South America
Armenia,Yerevan,Asia
Aruba,Oranjestad,North America
Australia,Canberra,Oceania
Austria,Vienna,Europe
Azerbaijan,Baku,Asia
Bahamas,Nassau,North America
Bahrain,Manama,Asia
Bangladesh,Dhaka,Asia
Barbados,Bridgetown,North America
Belarus,Minsk,Europe
Belgium,Brussels,Europe
Belize,Belmopan,North America
Benin,Porto-Novo,Africa
Bermuda,Hamilton,North America
Bhutan,Thimphu,Asia
Bolivia,Sucre,South America
Bosnia and Herzegovina,Sarajevo,Europe
Botswana,Gaborone,Africa
Brazil,Brasilia,South America
British Virgin Islands,Road Town,North America
Brunei,Bandar Seri Begawan,Asia
Bulgaria,Sofia,Europe
Burkina Faso,Ouagadougou,Africa
Burundi,Bujumbura,Africa
Cambodia,Phnom Penh,Asia
Cameroon,Yaounde,Africa
Canada,Ottawa,North America
Cape Verde,Praia,Africa
Cayman Islands,George Town,North America
Central African Republic,Bangui,Africa
Chad,N'Djamena,Africa
Chile,Santiago,South America
China,Beijing,Asia
Colombia,Bogota,South America
Comoros,Moroni,Africa
Cook Islands,Avarua,Oceania
Costa Rica,San Jos??,North America
Croatia,Zagreb,Europe
Cuba,Havana,North America
Curacao,Willemstad,North America
Cyprus,Nicosia,Europe
Czech Republic,Prague,Europe
Denmark,Copenhagen,Europe
Djibouti,Djibouti,Africa
Dominica,Roseau,North America
Dominican Republic,Santo Domingo,North America
DR Congo,Kinshasa,Africa
Ecuador,Quito,South America
Egypt,Cairo,Africa
El Salvador,San Salvador,North America
Equatorial Guinea,Malabo,Africa
Eritrea,Asmara,Africa
Estonia,Tallinn,Europe
Eswatini,Mbabane,Africa
Ethiopia,Addis Ababa,Africa
Falkland Islands,Stanley,South America
Faroe Islands,T??rshavn,Europe
Fiji,Suva,Oceania
Finland,Helsinki,Europe
France,Paris,Europe
French Guiana,Cayenne,South America
French Polynesia,Papeete,Oceania
Gabon,Libreville,Africa
Gambia,Banjul,Africa
Georgia,Tbilisi,Asia
Germany,Berlin,Europe
Ghana,Accra,Africa
Gibraltar,Gibraltar,Europe
Greece,Athens,Europe
Greenland,Nuuk,North America
Grenada,Saint George's,North America
Guadeloupe,Basse-Terre,North America
Guam,Hag?�t?�a,Oceania
Guatemala,Guatemala City,North America
Guernsey,Saint Peter Port,Europe
Guinea,Conakry,Africa
Guinea-Bissau,Bissau,Africa
Guyana,Georgetown,South America
Haiti,Port-au-Prince,North America
Honduras,Tegucigalpa,North America
Hong Kong,Hong Kong,Asia
Hungary,Budapest,Europe
Iceland,Reykjav??k,Europe
India,New Delhi,Asia
Indonesia,Jakarta,Asia
Iran,Tehran,Asia
Iraq,Baghdad,Asia
Ireland,Dublin,Europe
Isle of Man,Douglas,Europe
Israel,Jerusalem,Asia
Italy,Rome,Europe
Ivory Coast,Yamoussoukro,Africa
Jamaica,Kingston,North America
Japan,Tokyo,Asia
Jersey,Saint Helier,Europe
Jordan,Amman,Asia
Kazakhstan,Nursultan,Asia
Kenya,Nairobi,Africa
Kiribati,Tarawa,Oceania
Kuwait,Kuwait City,Asia
Kyrgyzstan,Bishkek,Asia
Laos,Vientiane,Asia
Latvia,Riga,Europe
Lebanon,Beirut,Asia
Lesotho,Maseru,Africa
Liberia,Monrovia,Africa
Libya,Tripoli,Africa
Liechtenstein,Vaduz,Europe
Lithuania,Vilnius,Europe
Luxembourg,Luxembourg,Europe
